iter	RMSE
0	0.3757379583
1	0.3638556493
2	0.354135113
3	0.3446650763
4	0.3350132548
5	0.3254204559
6	0.3166174399
7	0.3083004047
8	0.2996843779
9	0.2912479735
10	0.2840878566
11	0.2767518675
12	0.2700476469
13	0.2640469345
14	0.2575033114
15	0.2516199705
16	0.2456231627
17	0.239858981
18	0.2339513706
19	0.2290661501
20	0.2238551322
21	0.2190545221
22	0.2143703314
23	0.2105348509
24	0.2062454067
25	0.2017673281
26	0.1983440428
27	0.1943757541
28	0.1912297746
29	0.1879507858
30	0.1848594894
31	0.1820508031
32	0.1791526867
33	0.1762835683
34	0.1736120927
35	0.1709517876
36	0.168537053
37	0.1660743772
38	0.1642041795
39	0.1619697144
40	0.1603460878
41	0.1583469782
42	0.1565176795
43	0.1546786195
44	0.152780957
45	0.1510322081
46	0.1493176975
47	0.1477643487
48	0.1462010001
49	0.1446899809
50	0.143075124
51	0.1416806279
52	0.1405649909
53	0.1392026167
54	0.1376373998
55	0.1365147957
56	0.1354800954
57	0.1344743533
58	0.1332467043
59	0.1323987896
60	0.1312892169
61	0.1303406393
62	0.1292397501
63	0.1282991368
64	0.1274851034
65	0.1268033896
66	0.1261376689
67	0.125394573
68	0.1246389162
69	0.1238411581
70	0.1231180921
71	0.1225690338
72	0.1219025928
73	0.1211534145
74	0.1206129937
75	0.1199132209
76	0.1190500101
77	0.1184256595
78	0.1177815363
79	0.1173385029
80	0.1169035376
81	0.116308855
82	0.1158483044
83	0.1152379914
84	0.1149244853
85	0.11442957
86	0.1138480785
87	0.1133187143
88	0.1130340873
89	0.1126895876
90	0.1121210459
91	0.1116552381
92	0.1111636599
93	0.1108897931
94	0.1105113418
95	0.1101113388
96	0.1097011984
97	0.1094139647
98	0.1090360639
99	0.1087494883
100	0.1084335279
101	0.1081200445
102	0.1077664286
103	0.1074261008
104	0.1070392052
105	0.1066086868
106	0.1062147998
107	0.1057944159
108	0.1053916843
109	0.1052687641
110	0.1051434805
111	0.1047808215
112	0.104390659
113	0.1040364903
114	0.1036831402
115	0.1033236154
116	0.1031878228
117	0.1029614737
118	0.1026324524
119	0.1025337747
120	0.1022440215
121	0.1018615427
122	0.1017955225
123	0.1014681117
124	0.1011593824
125	0.100898451
126	0.1006610694
127	0.1003973299
128	0.1001447769
129	0.09985341893
130	0.09954166197
131	0.09921344183
132	0.09906699836
133	0.09887477159
134	0.09861856762
135	0.09833816131
136	0.09805325285
137	0.09788312697
138	0.09764827717
139	0.09728335794
140	0.09700916721
141	0.09675138667
142	0.09657096136
143	0.09636452073
144	0.09606097229
145	0.09596183915
146	0.09585157555
147	0.09577365007
148	0.09548886374
149	0.09523602793
150	0.09511400382
151	0.09491360006
152	0.09461999706
153	0.09455239587
154	0.09430743392
155	0.09400549654
156	0.09387526827
157	0.09364822262
158	0.09350520663
159	0.09326543725
160	0.09303809477
161	0.09276408126
162	0.0925710427
163	0.0924879082
164	0.09225398552
165	0.09217486715
166	0.09190288002
167	0.09180712381
168	0.0915795571
169	0.09135715747
170	0.0912919693
171	0.09108982875
172	0.09085715059
173	0.0906493618
174	0.0904746322
175	0.0904372632
176	0.09014743906
177	0.08999777484
178	0.08982320947
179	0.08963041365
180	0.08948377372
181	0.08917896923
182	0.08910757785
183	0.08903882252
184	0.088998627
185	0.08880641186
186	0.08859121914
187	0.0883260054
188	0.08816841753
189	0.08799016422
190	0.08782025314
191	0.08763079906
192	0.08740285756
193	0.08723572251
194	0.08706855093
195	0.08687762582
196	0.08673613367
197	0.08656480085
198	0.08641679362
199	0.08634652501
200	0.08622971658
201	0.08591585263
202	0.08576640081
203	0.08569840715
204	0.08553304018
205	0.08539422267
206	0.08525368787
207	0.08512977957
208	0.08491576972
209	0.08476067883
210	0.08460644318
211	0.08454274202
212	0.08442154033
213	0.08436064803
214	0.08416237381
215	0.08398238354
216	0.08387786287
217	0.08381999103
218	0.08367416648
219	0.08351559241
220	0.08337314234
221	0.08333129416
222	0.08320435741
223	0.08314830136
224	0.08309493479
225	0.0829398476
226	0.08289441257
227	0.08278753528
228	0.08260665485
229	0.08256289304
230	0.08252532329
231	0.08233296636
232	0.08221543361
233	0.08205894644
234	0.08190059131
235	0.08182013097
236	0.08178433425
237	0.08161078822
238	0.08149366365
239	0.08137007326
240	0.08133541162
241	0.08119787351
242	0.08103477652
243	0.08096014517
244	0.08084046376
245	0.0808015809
246	0.08076400895
247	0.08073271345
248	0.08070593383
249	0.08059384061
250	0.08043928454
251	0.08027570239
252	0.08015597864
253	0.08013056802
254	0.07998582748
255	0.07985853318
256	0.07973645464
257	0.0795656857
258	0.07942887551
259	0.07938952791
260	0.07927471941
261	0.07919779596
262	0.07915994821
263	0.07903758434
264	0.07896826433
265	0.07882858886
266	0.0787875511
267	0.07873969384
268	0.0785185598
269	0.07830501894
270	0.0782331094
271	0.07818022579
272	0.07807066623
273	0.07803898182
274	0.07800870567
275	0.07794025161
276	0.07791310771
277	0.0777766889
278	0.0777279634
279	0.07760440684
280	0.07747953197
281	0.07733618194
282	0.07724881859
283	0.07715339601
284	0.07695744736
285	0.07691894209
286	0.07689344957
287	0.07682283253
288	0.07670210943
289	0.07657490295
290	0.07646130757
291	0.07638255156
292	0.07632374931
293	0.07617529872
294	0.07605183561
295	0.07600565978
296	0.07584037294
297	0.07572440362
298	0.075628372
299	0.07552856188
300	0.07541496441
301	0.07531358413
302	0.07521501412
303	0.07516986682
304	0.07513396538
305	0.07505713926
306	0.0749384139
307	0.07487099083
308	0.07481561012
309	0.07471370518
310	0.07455681694
311	0.07446808997
312	0.07441267649
313	0.07427820535
314	0.0742503153
315	0.07407696472
316	0.07399136183
317	0.07388539304
318	0.07384364524
319	0.07372469805
320	0.07363255985
321	0.07359743888
322	0.07350547835
323	0.07341527547
324	0.07338535466
325	0.07326828297
326	0.07323848478
327	0.07319125978
328	0.0731358362
329	0.07311028369
330	0.07302269792
331	0.07291688813
332	0.07278072396
333	0.07275432363
334	0.07260091941
335	0.07258198438
336	0.07256351508
337	0.07245416775
338	0.07231192836
339	0.07223795634
340	0.07211116854
341	0.07209031363
342	0.07206865653
343	0.07197181611
344	0.07183261268
345	0.07175954987
346	0.07174220903
347	0.07162651849
348	0.07152984385
349	0.07142064443
350	0.07122530776
351	0.07109156059
352	0.07103135193
353	0.07094349819
354	0.07091985985
355	0.07090035466
356	0.07086496595
357	0.0707752327
358	0.07065219193
359	0.07061511418
360	0.07055088951
361	0.07051907988
362	0.07045514466
363	0.0703663714
364	0.07034546156
365	0.07017997236
366	0.07012565608
367	0.07010736643
368	0.07005230897
369	0.06993039882
370	0.06982174767
371	0.0697628667
372	0.06972771117
373	0.06965472542
374	0.06957970458
375	0.06946742406
376	0.06944969846
377	0.06943399754
378	0.06936323152
379	0.06928061619
380	0.06921096256
381	0.06913679234
382	0.0690882601
383	0.06905382389
384	0.06895653226
385	0.06891130408
386	0.0687983321
387	0.06867821257
388	0.06861806835
389	0.06851090073
390	0.06842153219
391	0.06837033479
392	0.06835301322
393	0.06833398274
394	0.06831555339
395	0.06830101428
396	0.06827904283
397	0.0681820372
398	0.06816635939
399	0.0681431444
400	0.06808266139
401	0.06800945705
402	0.06792428151
403	0.06780511027
404	0.0677706723
405	0.06775329385
406	0.06762196209
407	0.06753397511
408	0.0674429018
409	0.06737143306
410	0.06719741168
411	0.06716060513
412	0.06706857666
413	0.0669263038
414	0.06684968712
415	0.06674494328
416	0.06671211845
417	0.06663844648
418	0.06657301242
419	0.06654117963
420	0.06647868802
421	0.06641814334
422	0.06631699933
423	0.06630122392
424	0.06625021883
425	0.06615745631
426	0.06606505417
427	0.06597144116
428	0.0659037327
429	0.06588729823
430	0.06583535951
431	0.06578164826
432	0.06576805982
433	0.06569998041
434	0.06565372826
435	0.06562552837
436	0.06557497657
437	0.06551145978
438	0.0654272554
439	0.06541410712
440	0.06540106336
441	0.06534150191
442	0.06524839277
443	0.06518992799
444	0.06513337302
445	0.06508571748
446	0.06504207079
447	0.06497826915
448	0.06492202422
449	0.06489006382
450	0.06478928957
451	0.06472096345
452	0.06470819527
453	0.06468412293
454	0.06467152873
455	0.06462966206
456	0.06460121878
457	0.0645358172
458	0.06452057795
459	0.06444917715
460	0.0644377193
461	0.06437434885
462	0.06432222325
463	0.06430654385
464	0.06426677368
465	0.06413391663
466	0.06404005559
467	0.06395472376
468	0.0639046373
469	0.06379183035
470	0.06377682287
471	0.06375927922
472	0.06364515083
473	0.06355752754
474	0.063543019
475	0.06347531173
476	0.0634633752
477	0.06338272101
478	0.06336413849
479	0.06327233104
480	0.06322158747
481	0.06317869398
482	0.06311696398
483	0.06302791097
484	0.0629132154
485	0.06282206462
486	0.06276832793
487	0.06268898964
488	0.06258480357
489	0.06257273455
490	0.06245207237
491	0.06241281131
492	0.06230614894
493	0.06226069204
494	0.06224897867
495	0.06217450374
496	0.0621638127
497	0.06213279853
498	0.06208381983
499	0.06200615485
500	0.06197066501
501	0.06195320478
502	0.06194287192
503	0.06193262537
504	0.06192251285
505	0.06190570232
506	0.06189118632
507	0.06188046005
508	0.06184021246
509	0.06177804329
510	0.06174867922
511	0.06164451958
512	0.0616297308
513	0.06156127725
514	0.06146004805
515	0.06144992998
516	0.06137899264
517	0.06128362796
518	0.06120568787
519	0.06119610648
520	0.06108942366
521	0.06102627005
522	0.06093003679
523	0.06091962526
524	0.06085051905
525	0.0608333392
526	0.06073258807
527	0.0606964348
528	0.06068063129
529	0.06065065274
530	0.06061249181
531	0.06050990549
532	0.06042328153
533	0.06040897116
534	0.06035597619
535	0.06023604142
536	0.06015602963
537	0.06008089196
538	0.06001641458
539	0.05998383697
540	0.05996695613
541	0.05992343413
542	0.05987140888
543	0.05980398941
544	0.05972094506
545	0.05964500221
546	0.05963468446
547	0.05958237956
548	0.05948356586
549	0.05947246965
550	0.05937399949
551	0.05936361878
552	0.05932219395
553	0.05928919669
554	0.05927565708
555	0.05918299627
556	0.05915271027
557	0.05914296405
558	0.05903817561
559	0.0589413333
560	0.05886031158
561	0.05885174305
562	0.05884223565
563	0.05876575598
564	0.05866977916
565	0.05850998324
566	0.0583997557
567	0.05838722708
568	0.05837773263
569	0.05831923414
570	0.05822796863
571	0.05817411573
572	0.05809018357
573	0.05801044466
574	0.05793579569
575	0.05786878459
576	0.05784091453
577	0.05777779532
578	0.05769878939
579	0.05768332355
580	0.05760636612
581	0.05752789303
582	0.05743391813
583	0.05733951442
584	0.05733037158
585	0.0572586983
586	0.05720526745
587	0.05715498302
588	0.05711573574
589	0.05705022629
590	0.05700841782
591	0.05699940968
592	0.05698972262
593	0.056911505
594	0.05684543998
595	0.05676609409
596	0.0567009146
597	0.05666893153
598	0.05658458415
599	0.05646978405
600	0.05639640459
601	0.0563240661
602	0.0562888966
603	0.05626429179
604	0.05622612064
605	0.05617743853
606	0.05616689885
607	0.05608796623
608	0.05607941891
609	0.05607102153
610	0.05606211936
611	0.05605440267
612	0.05598559022
613	0.05593110076
614	0.05584094429
615	0.05580803896
616	0.05572152532
617	0.05564643632
618	0.05561093588
619	0.05557819903
620	0.05556931004
621	0.05554189026
622	0.05545442868
623	0.05539964101
624	0.05534007443
625	0.05529708273
626	0.05526031446
627	0.05520659023
628	0.0551598638
629	0.05510956775
630	0.05498117776
631	0.0549499548
632	0.0549120174
633	0.05482365241
634	0.05481552322
635	0.0548014452
636	0.05475511
637	0.05474670965
638	0.05464659766
639	0.05457440343
640	0.05452821728
641	0.05450004221
642	0.05449219204
643	0.05443195181
644	0.05442473291
645	0.05441807106
646	0.05438610624
647	0.05431218138
648	0.05416563331
649	0.05408825216
650	0.05408069083
651	0.05403664818
652	0.0539793202
653	0.05391355387
654	0.05385174147
655	0.05378050631
656	0.05369525718
657	0.05363188299
658	0.05362363045
659	0.05361564253
660	0.05354596196
661	0.05347811824
662	0.05339829002
663	0.05339049945
664	0.05329117739
665	0.05326098737
666	0.05321277988
667	0.05314470611
668	0.05309773189
669	0.05309132268
670	0.05305240218
671	0.05299640028
672	0.05286635685
673	0.05285845003
674	0.05282062792
675	0.05277466586
676	0.05270942302
677	0.05262430255
678	0.05256605385
679	0.05255865963
680	0.05245475528
681	0.05244710474
682	0.05242481802
683	0.05235794966
684	0.05230900538
685	0.05226311315
686	0.05221283681
687	0.05213621272
688	0.0521290812
689	0.05202926969
690	0.05202318568
691	0.05200667811
692	0.05192947472
693	0.05188031267
694	0.05180973026
695	0.05180293171
696	0.05178051623
697	0.05177369
698	0.05172410665
699	0.05171659963
700	0.05167529966
701	0.0515981818
702	0.05159132374
703	0.05153458734
704	0.05152766978
705	0.05145930172
706	0.05142110653
707	0.05135482746
708	0.0512957637
709	0.05126269723
710	0.05121728337
711	0.05111860008
712	0.05105664625
713	0.05101839949
714	0.05100179808
715	0.05099455191
716	0.05097128769
717	0.05084979339
718	0.05080156307
719	0.05070029729
720	0.05069426181
721	0.05068703583
722	0.05066114507
723	0.05063595935
724	0.05057449078
725	0.05055996818
726	0.05049967609
727	0.05049341911
728	0.05048715671
729	0.05042072114
730	0.05032702059
731	0.05031161173
732	0.05027791682
733	0.05021677499
734	0.05016812735
735	0.05015884132
736	0.05012980082
737	0.05007712323
738	0.05007135311
739	0.05001387959
740	0.04994417363
741	0.04993210079
742	0.04992654567
743	0.04985325517
744	0.04976578873
745	0.04973128087
746	0.04968596973
747	0.04963608015
748	0.04960722136
749	0.04954504319
750	0.04952668176
751	0.04946013394
752	0.04937746504
753	0.04937195911
754	0.04935182154
755	0.04931041429
756	0.0492524623
757	0.04919349805
758	0.04916412359
759	0.04908247939
760	0.04907451777
761	0.04905551306
762	0.04899747641
763	0.04898959503
764	0.04893571336
765	0.0488849463
766	0.0488262228
767	0.04882140193
768	0.04881380837
769	0.04877793283
770	0.04875062694
771	0.04874531214
772	0.0487070353
773	0.04865030615
774	0.04856848077
775	0.0485461196
776	0.04848402389
777	0.04843663728
778	0.0483416199
779	0.0482963314
780	0.04826685389
781	0.04820705302
782	0.04817914294
783	0.04817336952
784	0.04807954538
785	0.04799578939
786	0.04799077041
787	0.04797301606
788	0.04791393383
789	0.04785700775
790	0.04785120543
791	0.04779863021
792	0.04775373482
793	0.04768318597
794	0.04767847114
795	0.04766581718
796	0.04766193513
797	0.04758670988
798	0.04751344968
799	0.04744797951
800	0.04738999272
801	0.04734408421
802	0.04730335043
803	0.04723494261
804	0.04720431245
805	0.04712182037
806	0.04710947776
807	0.04706974999
808	0.04701689875
809	0.04696533844
810	0.04695988839
811	0.04691248385
812	0.04687903856
813	0.04678888196
814	0.04671817969
815	0.04668415985
816	0.04663415601
817	0.04657076036
818	0.04652196304
819	0.04650795278
820	0.04649302495
821	0.04643791379
822	0.04643330173
823	0.04639808667
824	0.04637614324
825	0.04633135613
826	0.04625439173
827	0.04618200554
828	0.04612247069
829	0.04607157665
830	0.04604929541
831	0.04602734649
832	0.04598272408
833	0.04593596812
834	0.04588142405
835	0.04584468663
836	0.04581663731
837	0.04581167277
838	0.04579598894
839	0.04579052493
840	0.04572014632
841	0.04566113806
842	0.04562029494
843	0.04560487572
844	0.04554479364
845	0.04553568392
846	0.04550489611
847	0.04546083177
848	0.04539779865
849	0.04539344667
850	0.04530206273
851	0.04520201377
852	0.0451642376
853	0.04509195161
854	0.04506713734
855	0.04501595073
856	0.04501125596
857	0.04498595354
858	0.0449498109
859	0.04490080914
860	0.04488805553
861	0.04483289614
862	0.04481787664
863	0.0447267809
864	0.04467864048
865	0.0446597523
866	0.0446352656
867	0.0446295966
868	0.04460291002
869	0.04456506792
870	0.04451055549
871	0.04449723779
872	0.04444535232
873	0.04438990735
874	0.04437542
875	0.04434942707
876	0.04434486515
877	0.04428703563
878	0.04427258228
879	0.04420153767
880	0.04416523769
881	0.04412655925
882	0.04408808443
883	0.04400837897
884	0.04396511902
885	0.04392182123
886	0.04387973867
887	0.04387483281
888	0.04386883744
889	0.04381296648
890	0.04380419855
891	0.04380031089
892	0.04373317321
893	0.04367308183
894	0.04366852641
895	0.04363475392
896	0.04358147773
897	0.04352836562
898	0.04348408206
899	0.04348040122
900	0.04345368148
901	0.04341577506
902	0.04337460809
903	0.04332237829
904	0.04327979658
905	0.04324897402
906	0.04324413534
907	0.04319095638
908	0.04314592691
909	0.04310563886
910	0.04306468221
911	0.04304446484
912	0.04298033405
913	0.04297598102
914	0.04296279894
915	0.04289872317
916	0.04286187794
917	0.04282299866
918	0.04278181736
919	0.04275305041
920	0.04272930332
921	0.04266509517
922	0.04262951862
923	0.04256943212
924	0.04254605268
925	0.04254219622
926	0.04253833782
927	0.04248914687
928	0.04248563792
929	0.04246732421
930	0.04246373749
931	0.04241486209
932	0.04238854744
933	0.04236240569
934	0.04231383672
935	0.04227556362
936	0.04225263022
937	0.04224681115
938	0.04218465102
939	0.04215762258
940	0.04211323119
941	0.04208313313
942	0.04202075477
943	0.04198792722
944	0.04194829977
945	0.04191675864
946	0.0418876909
947	0.04184487571
948	0.04182820228
949	0.04175362615
950	0.0417309766
951	0.04166952069
952	0.04166503633
953	0.04162741927
954	0.04159441339
955	0.04156343274
956	0.04152598872
957	0.04145762122
958	0.04141000106
959	0.04139231169
960	0.04133463673
961	0.04123914822
962	0.04119278052
963	0.04115834774
964	0.04115471903
965	0.04113593631
966	0.04113193874
967	0.04111887227
968	0.04108787861
969	0.04108385424
970	0.04104440408
971	0.04100432493
972	0.04099400621
973	0.04098974021
974	0.0409568239
975	0.0409344949
976	0.04092828628
977	0.04088015825
978	0.04087553134
979	0.04081670237
980	0.04075900781
981	0.04074152694
982	0.04069417621
983	0.0406391655
984	0.04062182539
985	0.04055851911
986	0.04052938753
987	0.04052338209
988	0.04049439078
989	0.04044485831
990	0.04044072103
991	0.0404373734
992	0.04041892114
993	0.0404152916
994	0.04041160909
995	0.04037754957
996	0.04036158981
997	0.04033932015
998	0.04027355952
999	0.04017339672
